idClient;id_group_blude;nameGroupBlude;pictureUrl;id_blude;nameBlude;ingridientBlude;priceBlude;priceBludeFull;
2;0;Finger food;fingerFood.jpg;0;Παναρισμένες μπουκιές πατάτας;Με cheddar & μπέικον;4.50;;
2;0;;;1;Πατάτες τηγανητές;;3.00;;
2;0;;;2;Πατάτες τηγανητές;με λιωμένο cheddar, pico de gallo & sour cream;5.00;;
2;0;;;3;Τηγανητά sticks μοτσαρέλας;Με σάλτσα ντομάτας & sour cream;5.00;;
2;0;;;4;Μανιτάρια πανέ;Με horseradish mayo;4.50;;
2;1;Σαλάτες;salates.jpg;5;Coleslaw;Με λάχανο, καρότο, κόκκινο λάχανο, καρύδια, ανανά & coleslaw dressing;4.50;;
2;1;;;6;BBQ με κοτόπουλο;με λάχανο, καρότο, ντομάτα, cheddar, ψιλοκομμένο κοτόπουλο με BBQ sauce & dressing BBQ;6.00;;
2;1;;;7;Πράσινη σαλάτα με ροδάκινο;Με ρόκα, πιπεριά Φλωρίνης, ψητά φιλέτα ροδάκινου, αμύγδαλο, γραβιέρα & καπνιστό dressing ροδάκινου;6.50;;
2;1;;;8;Ελληνική;Με ντοματίνια, κριθαρένιο παξιμάδι, πιπεριά πράσινη, ελιές, κρεμμύδι, φρέσκια ρίγανη, ξινομυζήθρα & λάδι δυόσμου;5.50;;
2;2;Street food;streetFood.jpg;9;Γύρος προβατίνα σε χειροποίητο pita bread;Με σάλτσα πιπεριάς, πατάτες τηγανητές & σάλτσα γιαουρτιού;5.50;;
2;2;;;10;Crispy κοτόπουλο cajun;Σε ψωμάκι brioce με emmental, ντομάτα, γαλλική σαλάτα & cajun cream;6.00;;
2;2;;;11;Burger μοσχαρίσιο;Σε ψωμάκι brioce με ντομάτα, γαλλική σαλάτα, crispy onion, μπέικον, cheddar sauce & creole sauce;5.00;;
2;2;;;12;Κοτόπουλο ψιλοκομμένο σε 3 soft taco;Με μεξικάνικη σάλτσα pico de gallo, σάλτσα γιαουρτιού & κόλιανδρο;5.00;;
2;2;;;13;Μαδημένο χοιρινό σε 2 bao bun;Με λάχανο, καρότο, κόλιανδρο, crispy onion, ανανά & creole sauce;4.50;;
2;2;;;14;Πρόβεια κεφτεδάκια σε χειροποίητο pita bread;Με σάλτσα ντομάτας, γαλλική σαλάτα, πατάτες τηγανητές & γιαούρτι με δυόσμο;5.00;;
2;2;;;15;Φαλάφελ σε αραβική πίτα;Με καπνιστή μελιτζανοσαλάτα, γαλλική σαλάτα, ντομάτα & σάλτσα ταχίνι;4.00;;
2;2;;;16;Ταλιάτα μοσχαρίσια σε ciabatta;Με ρόκα, λάδι τρούφας, σάλτσα bearnaise, παρμεζάνα & πικάντικη μουστάρδα;7.00;;
2;2;;;17;Cheese dog σε ψωμάκι;Με cheddar, λουκάνικο Φρανκφούρτης, πατάτες τηγανητές, spicy mayo, BBQ sauce & pico de gallo;2.70;;
2;3;Μερίδες;merides.jpg;18;Γύρος προβατίνα μερίδα;Συνοδεύεται από σάλτσα πιπεριάς, σάλτσα γιαουρτιού & πατάτες τηγανητές;8.00;;
2;3;;;19;Crispy κοτόπουλο cajun;Με ψωμάκι brioche, κοτόπουλο, edam, ντομάτα, γαλλική σαλάτα & cajun cream. Συνοδεύεται από πατάτες τηγανητές;7.50;;
2;3;;;20;Burger μοσχαρίσιο;Σε ψωμάκι brioche με ντομάτα, γαλλική σαλάτα, crispy onion, μπέικον, cheddar sauce & creole sauce. Συνοδεύεται από πατάτες τηγανητές;7.00;;
2;3;;;21;Κοτόπουλο ψιλοκομμένο μερίδα;Με μεξικάνικη σάλτσα pico de gallo, σάλτσα γιαουρτιού & κόλιανδρο . Συνοδεύεται από πατάτες τηγανητές;7.50;;
2;3;;;22;Λεπτοκομμένο χοιρινό μερίδα;Με pico de gallo & creole sauce. Συνοδεύεται από πατάτες τηγανητές;7.50;;
